0 0 2.34256	0 0 1.17478
0.0703125 11.085 10.6412	0 108.142 7.96289
0.0705566 11.1969 10.6462	0 115.323 8.24321
0.0708008 9.38849 10.6548	0 93.1172 8.70682
0.0710449 12.2734 10.6648	0 130.277 9.32764
0.0712891 9.61811 10.6738	0 81.2349 10.0222
0.0715332 11.5475 10.6792	0 127.669 10.6685
0.0717773 9.33724 10.6788	0 64.4605 11.1409
0.0720215 11.264 10.6706	0 133.562 11.3486
0.0722656 12.3366 10.6538	0 329.135 11.2631
0.0725098 11.7444 10.6283	0 145.003 10.9255
0.0727539 8.61923 10.5953	0 55.415 10.4307
0.072998 11.2217 10.5567	0 122.175 9.89557
0.0732422 10.4165 10.5151	0 96.0759 9.42308
0.0734863 10.1603 10.473	0 118.806 9.07593
0.0737305 10.0652 10.4329	0 87.1044 8.86662
0.0739746 11.2358 10.397	0 112.349 8.76502
0.0742188 9.64172 10.3667	0 103.129 8.71821
0.0744629 9.4439 10.343	0 78.5956 8.67394
0.074707 10.9587 10.3263	0 174.635 8.59956
0.0749512 11.1288 10.3168	0 107.188 8.49005
0.0751953 9.61947 10.3143	0 79.8661 8.3633
0.0754395 9.90899 10.3185	0 105.459 8.24576
0.0756836 9.89649 10.329	0 105.325 8.15586
0.0759277 10.6307 10.3452	0 91.408 8.09374
0.0761719 10.6794 10.3666	0 153.134 8.04192
0.076416 10.3191 10.3921	0 111.006 7.97586
0.0766602 10.6362 10.4207	0 73.6485 7.87747
0.0769043 8.86763 10.4509	0 64.5597 7.74448
0.0771484 11.9286 10.4806	0 110.142 7.59132
0.0773926 10.1922 10.5075	0 134.128 7.44303
0.0776367 10.1845 10.5292	0 106.922 7.32583
0.0778809 11.11 10.5427	0 181.066 7.25835
0.078125 10.5563 10.5456	0 120.137 7.24519
0.0783691 10.6217 10.5356	0 101.419 7.27373
0.0786133 10.9192 10.5112	0 124.588 7.31513
0.0788574 11.5736 10.4718	0 144.226 7.33099
0.0791016 9.73676 10.418	0 104.827 7.28513
0.0793457 11.883 10.3512	0 112.269 7.15672
0.0795898 9.33198 10.2737	0 107.11 6.94908
0.079834 10.3947 10.1885	0 99.7119 6.68915
0.0800781 10.398 10.0991	0 103.714 6.4175
0.0803223 8.97798 10.0091	0 74.9933 6.17398
0.0805664 9.32532 9.92222	0 76.7905 5.98624
